file,job,format,percentile_list,ioengine,direct,norandommap,randrepeat,group_reporting, stonewall,new_group, rw, rwmixread, numjobs,iodepth, bs,time_based, ramp_time, runtime,loops, rate_iops,log_avg_msec,write_iops_log,buffer_compress_percentage
ran_write_interference.fio,ran_write_interference_30k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_40k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,5000,,,60
ran_write_interference.fio,ran_write_interference_40k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_50k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,6250,,,60
ran_write_interference.fio,ran_write_interference_50k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,3200,,,,,60
ran_write_interference.fio,ran_write_interference_60k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,3200,,7500,,,60
ran_write_interference.fio,ran_write_interference_60k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_70k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,8750,,,60
ran_write_interference.fio,ran_write_interference_70k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_80k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,10000,,,60
ran_write_interference.fio,ran_write_interference_80k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
ran_write_interference.fio,ran_write_interference_90k_w,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,yes,yes,randwrite,,8,32,4k,yes,120,600,,11250,,,60
ran_write_interference.fio,ran_write_interference_90k_r,,1:5:10:20:30:50:60:70:75:80:85:90:95:99:99.9:99.99:99.999:99.9999:99.99999,libaio,1,yes,0,yes,,,randread,,8,32,4k,yes,120,600,,,,,60
